"id";"name";"content_type_id";"codename"
1;"Can add log entry";1;"add_logentry"
2;"Can change log entry";1;"change_logentry"
3;"Can delete log entry";1;"delete_logentry"
4;"Can view log entry";1;"view_logentry"
5;"Can add permission";2;"add_permission"
6;"Can change permission";2;"change_permission"
7;"Can delete permission";2;"delete_permission"
8;"Can view permission";2;"view_permission"
9;"Can add group";3;"add_group"
10;"Can change group";3;"change_group"
11;"Can delete group";3;"delete_group"
12;"Can view group";3;"view_group"
13;"Can add content type";4;"add_contenttype"
14;"Can change content type";4;"change_contenttype"
15;"Can delete content type";4;"delete_contenttype"
16;"Can view content type";4;"view_contenttype"
17;"Can add session";5;"add_session"
18;"Can change session";5;"change_session"
19;"Can delete session";5;"delete_session"
20;"Can view session";5;"view_session"
21;"Can add customer";6;"add_customer"
22;"Can change customer";6;"change_customer"
23;"Can delete customer";6;"delete_customer"
24;"Can view customer";6;"view_customer"
25;"Can add category";7;"add_category"
26;"Can change category";7;"change_category"
27;"Can delete category";7;"delete_category"
28;"Can view category";7;"view_category"
29;"Can add discount";8;"add_discount"
30;"Can change discount";8;"change_discount"
31;"Can delete discount";8;"delete_discount"
32;"Can view discount";8;"view_discount"
33;"Can add address";9;"add_address"
34;"Can change address";9;"change_address"
35;"Can delete address";9;"delete_address"
36;"Can view address";9;"view_address"
37;"Can add product";10;"add_product"
38;"Can change product";10;"change_product"
39;"Can delete product";10;"delete_product"
40;"Can view product";10;"view_product"
41;"Can add user";11;"add_customuser"
42;"Can change user";11;"change_customuser"
43;"Can delete user";11;"delete_customuser"
44;"Can view user";11;"view_customuser"
45;"Can add email address";12;"add_emailaddress"
46;"Can change email address";12;"change_emailaddress"
47;"Can delete email address";12;"delete_emailaddress"
48;"Can view email address";12;"view_emailaddress"
49;"Can add email confirmation";13;"add_emailconfirmation"
50;"Can change email confirmation";13;"change_emailconfirmation"
51;"Can delete email confirmation";13;"delete_emailconfirmation"
52;"Can view email confirmation";13;"view_emailconfirmation"
53;"Can add cart";14;"add_cart"
54;"Can change cart";14;"change_cart"
55;"Can delete cart";14;"delete_cart"
56;"Can view cart";14;"view_cart"
57;"Can add comment";15;"add_comment"
58;"Can change comment";15;"change_comment"
59;"Can delete comment";15;"delete_comment"
60;"Can view comment";15;"view_comment"
61;"Can add order";16;"add_order"
62;"Can change order";16;"change_order"
63;"Can delete order";16;"delete_order"
64;"Can view order";16;"view_order"
65;"Can add cart item";17;"add_cartitem"
66;"Can change cart item";17;"change_cartitem"
67;"Can delete cart item";17;"delete_cartitem"
68;"Can view cart item";17;"view_cartitem"
69;"Can add order item";18;"add_orderitem"
70;"Can change order item";18;"change_orderitem"
71;"Can delete order item";18;"delete_orderitem"
72;"Can view order item";18;"view_orderitem"
