"id";"app";"name";"applied"
1;"contenttypes";"0001_initial";"2025-06-28 16:47:30.257103"
2;"contenttypes";"0002_remove_content_type_name";"2025-06-28 16:47:31.920809"
3;"auth";"0001_initial";"2025-06-28 16:47:37.012981"
4;"auth";"0002_alter_permission_name_max_length";"2025-06-28 16:47:38.131915"
5;"auth";"0003_alter_user_email_max_length";"2025-06-28 16:47:38.204454"
6;"auth";"0004_alter_user_username_opts";"2025-06-28 16:47:38.275776"
7;"auth";"0005_alter_user_last_login_null";"2025-06-28 16:47:38.348634"
8;"auth";"0006_require_contenttypes_0002";"2025-06-28 16:47:38.411516"
9;"auth";"0007_alter_validators_add_error_messages";"2025-06-28 16:47:38.471748"
10;"auth";"0008_alter_user_username_max_length";"2025-06-28 16:47:38.526471"
11;"auth";"0009_alter_user_last_name_max_length";"2025-06-28 16:47:38.591530"
12;"auth";"0010_alter_group_name_max_length";"2025-06-28 16:47:39.205966"
13;"auth";"0011_update_proxy_permissions";"2025-06-28 16:47:39.284944"
14;"auth";"0012_alter_user_first_name_max_length";"2025-06-28 16:47:39.340970"
15;"core";"0001_initial";"2025-06-28 16:47:45.565422"
16;"admin";"0001_initial";"2025-06-28 16:47:48.192657"
17;"admin";"0002_logentry_remove_auto_add";"2025-06-28 16:47:48.225957"
18;"admin";"0003_logentry_add_action_flag_choices";"2025-06-28 16:47:48.273938"
19;"sessions";"0001_initial";"2025-06-28 16:47:48.837212"
20;"store";"0001_initial";"2025-06-28 16:47:55.177449"
21;"account";"0001_initial";"2025-07-05 17:13:01.240424"
22;"account";"0002_email_max_length";"2025-07-05 17:13:01.474633"
23;"account";"0003_alter_emailaddress_create_unique_verified_email";"2025-07-05 17:13:01.815218"
24;"account";"0004_alter_emailaddress_drop_unique_email";"2025-07-05 17:13:02.255215"
25;"account";"0005_emailaddress_idx_upper_email";"2025-07-05 17:13:02.636094"
26;"account";"0006_emailaddress_lower";"2025-07-05 17:13:02.729489"
27;"account";"0007_emailaddress_idx_email";"2025-07-05 17:13:03.198286"
28;"account";"0008_emailaddress_unique_primary_email_fixup";"2025-07-05 17:13:03.389006"
29;"account";"0009_emailaddress_unique_primary_email";"2025-07-05 17:13:03.478391"
30;"store";"0002_cart_comment_order_cartitem_orderitem";"2025-07-05 17:13:10.047593"
31;"store";"0003_category_slug";"2025-07-14 20:22:57.605436"
32;"store";"0004_alter_category_slug";"2025-07-14 20:24:41.196232"
33;"store";"0005_alter_category_options_comment_user_and_more";"2025-07-15 15:22:20.036813"
34;"store";"0006_category_level_category_lft_category_parent_and_more";"2025-08-06 17:26:51.295231"
35;"store";"0007_comment_store_comme_product_65ca19_idx_and_more";"2025-08-08 20:27:21.410036"
36;"store";"0008_alter_category_slug_alter_category_unique_together";"2025-08-08 21:54:47.187372"
37;"store";"0009_product_cover_alter_comment_body";"2025-10-10 09:41:42.295605"
38;"store";"0010_product_categories_alter_product_category";"2025-10-12 16:50:20.492945"
39;"store";"0011_remove_product_category_alter_product_categories";"2025-10-12 17:40:54.476351"
40;"store";"0012_alter_product_unit_price";"2025-10-18 14:55:59.482163"
41;"store";"0013_alter_product_description_and_more";"2025-10-20 14:44:55.824112"
42;"store";"0014_order_datetime_modified_order_order_notes_and_more";"2025-10-23 18:02:42.806752"
